date,open,close,high,low,amount
2024-03-19,1596.69,1601.71,1613.63,1586.8,23948.0
2024-03-20,1597.05,1603.29,1607.37,1593.92,15249.0
2024-03-21,1601.79,1602.69,1612.69,1598.19,16596.0
2024-03-22,1598.72,1595.04,1602.68,1581.69,25456.0
2024-03-25,1592.23,1582.69,1592.46,1574.27,24473.0
2024-03-26,1581.15,1602.98,1606.49,1581.15,28069.0
2024-03-27,1598.69,1594.69,1605.69,1592.69,18113.0
2024-03-28,1588.69,1595.33,1611.69,1586.89,24642.0
2024-03-29,1595.33,1596.59,1604.68,1591.79,13457.0
2024-04-01,1603.68,1615.02,1627.69,1602.39,27131.0
2024-04-02,1615.69,1607.68,1618.68,1598.74,25449.0
2024-04-03,1627.69,1608.8,1633.13,1603.71,29046.0
2024-04-08,1588.69,1560.35,1589.69,1556.29,59167.0
2024-04-09,1554.36,1555.91,1566.69,1552.14,25590.0
2024-04-10,1555.96,1541.67,1558.68,1538.69,27631.0
2024-04-11,1533.8,1541.69,1543.69,1528.38,22766.0
2024-04-12,1544.69,1527.72,1557.69,1527.72,26744.0
2024-04-15,1528.69,1566.67,1569.3,1528.67,35818.0
2024-04-16,1559.18,1563.69,1573.25,1552.69,26266.0
2024-04-17,1561.69,1560.69,1568.89,1551.69,24819.0
2024-04-18,1552.69,1564.47,1576.67,1551.87,26568.0
2024-04-19,1554.47,1540.33,1562.19,1534.97,23500.0
2024-04-22,1547.69,1568.75,1572.56,1538.69,29951.0
2024-04-23,1568.69,1585.97,1588.69,1568.69,24980.0
2024-04-24,1590.67,1587.29,1593.6,1577.02,17086.0
2024-04-25,1584.02,1586.73,1589.29,1575.94,14476.0
2024-04-26,1587.69,1603.12,1607.69,1587.67,30996.0
2024-04-29,1590.64,1597.69,1621.69,1587.51,41332.0
2024-04-30,1598.69,1598.69,1623.56,1598.69,30760.0
2024-05-06,1627.66,1653.89,1658.69,1620.69,59909.0
2024-05-07,1659.48,1663.69,1671.49,1650.37,24925.0
2024-05-08,1663.38,1657.66,1663.66,1649.36,14769.0
2024-05-09,1651.69,1649.69,1658.67,1643.69,22387.0
2024-05-10,1654.79,1632.67,1661.56,1627.68,26207.0
2024-05-13,1625.71,1599.69,1626.35,1594.91,37662.0
2024-05-14,1599.68,1595.67,1606.96,1593.69,21274.0
2024-05-15,1596.27,1593.69,1601.69,1592.28,15739.0
2024-05-16,1598.69,1598.19,1603.56,1583.69,29680.0
2024-05-17,1593.69,1608.69,1610.27,1593.69,28924.0
2024-05-20,1611.68,1602.69,1626.68,1601.8,31426.0
2024-05-21,1601.69,1598.69,1603.42,1591.85,16293.0
2024-05-22,1596.69,1591.4,1603.65,1584.69,20286.0
2024-05-23,1593.69,1585.69,1600.06,1583.77,18885.0
2024-05-24,1586.69,1570.77,1588.69,1570.69,20217.0
2024-05-27,1571.69,1563.81,1581.14,1561.69,25098.0
2024-05-28,1564.09,1558.33,1568.86,1556.69,23521.0
2024-05-29,1559.69,1567.69,1573.69,1558.69,19651.0
2024-05-30,1568.69,1542.69,1569.06,1542.69,32208.0
2024-05-31,1544.19,1542.14,1557.19,1542.14,21857.0
2024-06-03,1543.69,1533.08,1544.61,1528.8,30261.0
2024-06-04,1534.19,1546.89,1549.69,1530.24,20841.0
2024-06-05,1545.69,1537.69,1552.37,1536.72,19056.0
2024-06-06,1537.35,1533.5,1545.68,1529.6,25610.0
2024-06-07,1539.81,1512.87,1539.87,1512.69,33525.0
2024-06-11,1496.68,1462.69,1498.69,1460.69,70247.0
2024-06-12,1463.69,1465.37,1483.69,1463.69,33171.0
2024-06-13,1470.46,1448.69,1470.58,1446.84,36186.0
2024-06-14,1448.69,1448.69,1457.65,1414.15,59514.0
2024-06-17,1425.98,1435.19,1442.46,1404.69,48318.0
2024-06-18,1424.58,1415.19,1448.23,1410.37,41258.0
2024-06-19,1422.55,1425.56,1428.56,1406.66,41262.0
2024-06-20,1424.56,1424.66,1440.57,1422.56,24711.0
2024-06-21,1425.06,1395.56,1429.54,1394.78,43320.0
2024-06-24,1347.56,1401.11,1413.55,1338.57,63840.0
2024-06-25,1401.56,1411.21,1427.55,1401.56,42098.0
2024-06-26,1404.56,1413.78,1425.63,1402.36,29570.0
2024-06-27,1416.56,1415.05,1418.53,1392.56,32822.0
2024-06-28,1404.56,1391.95,1419.05,1388.56,38582.0
2024-07-01,1393.44,1364.94,1397.55,1352.56,32161.0
2024-07-02,1357.56,1415.26,1422.56,1357.56,51853.0
2024-07-03,1423.56,1424.56,1437.57,1412.58,31573.0
2024-07-04,1429.56,1410.3,1436.56,1405.69,24380.0
2024-07-05,1403.56,1377.56,1417.74,1374.56,38829.0
2024-07-08,1367.56,1344.56,1382.33,1343.7,39527.0
2024-07-09,1344.56,1362.59,1379.45,1334.66,33621.0
2024-07-10,1363.81,1362.15,1390.44,1359.56,23763.0
2024-07-11,1374.53,1386.65,1393.56,1364.77,29020.0
2024-07-12,1397.57,1403.38,1410.96,1390.01,23386.0
2024-07-15,1394.56,1399.46,1412.56,1394.56,19176.0
2024-07-16,1400.56,1400.56,1406.56,1389.61,20316.0
2024-07-17,1400.66,1425.96,1427.56,1394.58,34311.0
2024-07-18,1424.06,1422.07,1439.56,1417.09,28870.0
2024-07-19,1415.37,1450.18,1453.74,1408.57,38943.0
2024-07-22,1449.59,1423.56,1454.54,1416.21,28543.0
2024-07-23,1423.56,1379.56,1425.56,1379.56,30944.0
2024-07-24,1374.76,1364.58,1388.26,1359.56,24123.0
2024-07-25,1364.58,1355.05,1372.56,1344.57,28347.0
2024-07-26,1355.05,1346.75,1362.28,1335.46,32354.0
2024-07-29,1339.56,1322.58,1346.55,1322.56,30869.0
2024-07-30,1310.54,1304.55,1314.83,1285.86,51779.0
2024-07-31,1297.66,1345.84,1351.83,1297.66,43272.0
2024-08-01,1342.56,1310.72,1344.56,1309.26,32038.0
2024-08-02,1298.16,1310.01,1321.53,1298.16,21928.0
2024-08-05,1313.44,1334.57,1350.56,1310.08,37736.0
2024-08-06,1346.56,1329.26,1348.56,1318.57,27444.0
2024-08-07,1330.06,1340.06,1346.55,1322.86,20622.0
2024-08-08,1335.56,1355.25,1372.74,1333.56,25131.0
2024-08-09,1384.59,1361.36,1393.56,1361.36,30138.0
2024-08-12,1354.56,1360.66,1367.56,1351.14,13632.0
2024-08-13,1357.56,1347.57,1359.56,1336.57,16308.0
2024-08-14,1347.57,1337.86,1349.46,1336.58,13414.0
2024-08-15,1329.59,1351.45,1360.55,1328.51,23039.0
2024-08-16,1351.35,1355.76,1360.48,1341.57,16455.0
2024-08-19,1356.56,1350.0,1383.44,1349.56,20433.0
2024-08-20,1354.46,1347.28,1354.49,1338.56,18591.0
2024-08-21,1344.56,1342.14,1352.54,1340.25,15092.0
2024-08-22,1340.56,1334.61,1344.56,1324.57,19527.0
2024-08-23,1332.56,1339.55,1348.06,1330.68,15320.0
2024-08-26,1341.56,1336.56,1348.42,1327.71,15628.0
2024-08-27,1336.56,1328.63,1337.56,1325.67,13657.0
2024-08-28,1328.63,1313.56,1330.56,1299.56,31664.0
2024-08-29,1304.56,1337.86,1342.56,1304.56,27472.0
2024-08-30,1337.56,1367.75,1382.63,1329.56,38739.0
2024-09-02,1354.56,1319.56,1362.56,1319.56,34135.0
2024-09-03,1322.56,1334.56,1339.54,1317.58,17888.0
2024-09-04,1326.56,1324.56,1343.75,1324.3,14211.0
2024-09-05,1325.06,1329.44,1331.56,1321.56,14503.0
2024-09-06,1329.56,1322.56,1330.56,1322.56,10321.0
2024-09-09,1304.57,1299.56,1318.27,1294.64,28638.0
2024-09-10,1294.58,1302.56,1317.56,1294.58,19803.0
2024-09-11,1300.16,1304.56,1310.44,1289.56,20996.0
2024-09-12,1304.56,1259.62,1309.56,1259.47,47948.0
2024-09-13,1255.56,1228.69,1256.56,1221.86,56005.0
2024-09-18,1224.56,1191.46,1224.57,1191.22,46185.0
2024-09-19,1186.56,1185.56,1217.44,1170.39,59988.0
2024-09-20,1186.06,1188.48,1198.46,1174.59,39982.0
2024-09-23,1192.56,1186.1,1218.06,1185.22,45550.0
2024-09-24,1209.65,1297.16,1297.56,1189.65,100413.0
2024-09-25,1324.61,1323.56,1351.56,1321.27,73954.0
2024-09-26,1324.52,1453.56,1454.43,1320.56,97278.0
2024-09-27,1524.56,1553.76,1553.76,1489.92,87922.0
2024-09-30,1616.56,1672.56,1684.44,1576.56,157293.0
2024-10-08,1834.56,1647.56,1834.56,1604.74,194709.0
2024-10-09,1624.56,1519.71,1624.56,1514.56,120197.0
2024-10-10,1546.82,1564.56,1592.64,1515.56,74603.0
2024-10-11,1539.96,1529.55,1564.52,1514.56,41915.0
2024-10-14,1537.56,1526.55,1545.19,1505.73,44812.0
2024-10-15,1523.56,1478.81,1525.55,1477.57,43571.0
2024-10-16,1465.44,1447.06,1474.36,1434.56,46664.0
2024-10-17,1461.56,1419.16,1462.22,1417.97,39460.0
2024-10-18,1417.56,1465.56,1492.4,1403.52,68619.0
2024-10-21,1465.77,1453.36,1474.53,1445.77,42008.0
2024-10-22,1451.12,1467.56,1484.74,1448.76,36269.0
2024-10-23,1468.67,1492.06,1501.51,1456.56,40088.0
2024-10-24,1485.56,1476.76,1499.56,1469.57,23923.0
2024-10-25,1471.56,1483.41,1499.35,1470.57,27745.0
2024-10-28,1484.56,1489.56,1489.56,1446.79,39121.0
2024-10-29,1484.56,1456.18,1504.56,1454.56,41166.0
2024-10-30,1449.56,1456.56,1475.75,1447.97,32006.0
2024-10-31,1456.71,1452.35,1464.56,1444.56,29957.0
2024-11-01,1445.56,1458.31,1469.69,1445.36,32284.0
2024-11-04,1469.49,1472.76,1474.56,1452.62,29093.0
2024-11-05,1464.56,1501.55,1502.26,1460.57,45640.0
2024-11-06,1499.56,1495.56,1513.55,1485.78,37631.0
2024-11-07,1487.02,1573.7,1578.06,1486.86,74739.0
2024-11-08,1585.45,1534.53,1591.67,1525.57,60771.0
2024-11-11,1514.56,1522.57,1534.51,1491.75,43854.0
2024-11-12,1513.56,1501.76,1547.56,1498.51,49223.0
2024-11-13,1492.56,1503.06,1511.22,1485.84,29125.0
2024-11-14,1494.56,1498.36,1519.01,1490.21,29248.0
2024-11-15,1493.56,1483.56,1508.36,1477.56,33761.0
2024-11-18,1486.56,1483.56,1500.55,1479.56,27092.0
2024-11-19,1489.56,1466.48,1493.93,1449.56,33266.0
2024-11-20,1467.56,1469.37,1478.53,1455.86,21345.0
2024-11-21,1468.43,1469.69,1473.55,1456.56,18262.0
2024-11-22,1465.71,1432.38,1472.33,1432.38,33436.0
2024-11-25,1435.56,1423.13,1456.56,1421.23,33186.0
2024-11-26,1423.13,1433.56,1443.44,1413.44,25745.0
2024-11-27,1433.56,1443.61,1446.71,1429.56,25934.0
2024-11-28,1446.56,1442.56,1449.55,1426.56,23952.0
2024-11-29,1441.56,1450.3,1479.56,1437.77,36088.0
2024-12-02,1450.56,1449.56,1454.55,1439.66,26820.0
2024-12-03,1448.56,1451.3,1453.46,1440.64,24807.0
2024-12-04,1444.63,1444.56,1448.22,1434.56,23924.0
2024-12-05,1435.42,1435.56,1442.42,1434.56,16141.0
2024-12-06,1437.56,1445.57,1463.46,1432.63,32040.0
2024-12-09,1446.58,1443.36,1454.28,1437.76,19800.0
2024-12-10,1494.56,1471.15,1504.29,1469.74,60312.0
2024-12-11,1464.56,1460.16,1479.56,1455.54,29671.0
2024-12-12,1456.58,1490.36,1490.56,1453.56,41937.0
2024-12-13,1474.57,1443.56,1479.55,1443.44,49512.0
2024-12-16,1445.56,1451.76,1453.56,1435.27,32537.0
2024-12-17,1450.55,1482.56,1493.56,1445.57,54172.0
2024-12-18,1482.53,1496.06,1501.56,1471.66,41162.0
2024-12-19,1489.7,1475.57,1492.49,1474.89,24809.0
2024-12-20,1479.57,1470.44,1490.24,1468.46,28158.0
2024-12-23,1471.44,1474.89,1486.44,1465.44,21603.0
2024-12-24,1473.44,1487.26,1492.44,1470.03,22105.0
