date,open,close,high,low,amount
2022-09-06,44.41,44.06,44.81,44.0,177962.0
2022-09-07,44.27,43.65,44.29,43.58,209953.0
2022-09-08,43.65,43.97,44.35,43.65,153657.0
2022-09-09,43.97,46.04,46.23,43.86,523881.0
2022-09-13,46.04,47.09,47.5,45.67,346024.0
2022-09-14,46.1,46.53,46.85,46.0,187473.0
2022-09-15,46.49,46.94,47.8,46.29,289698.0
2022-09-16,46.59,45.72,46.7,45.5,259940.0
2022-09-19,45.27,45.58,46.04,44.72,203600.0
2022-09-20,45.45,44.12,45.7,43.9,350660.0
2022-09-21,45.03,43.45,45.06,42.94,267752.0
2022-09-22,43.34,42.1,43.35,41.89,401432.0
2022-09-23,41.71,41.94,42.49,41.6,175176.0
2022-09-26,41.6,41.65,42.6,41.49,205533.0
2022-09-27,41.75,42.28,42.48,40.9,247650.0
2022-09-28,42.1,41.77,42.37,41.7,135577.0
2022-09-29,42.07,41.1,42.36,40.9,253195.0
2022-09-30,40.73,39.91,41.17,39.91,355638.0
2022-10-10,39.91,39.3,40.59,39.06,260145.0
2022-10-11,39.29,38.97,39.45,38.6,220037.0
2022-10-12,38.65,38.87,38.9,37.6,240971.0
2022-10-13,38.59,37.66,38.6,37.61,277454.0
2022-10-14,37.85,38.59,38.85,37.7,313388.0
2022-10-17,38.31,38.27,38.45,37.9,235017.0
2022-10-18,38.58,38.04,38.75,37.93,270086.0
2022-10-19,37.96,35.82,37.96,35.77,556549.0
2022-10-20,35.4,34.98,35.88,34.46,366478.0
2022-10-21,34.99,34.6,35.38,34.37,272432.0
2022-10-24,34.3,32.99,34.92,32.9,459169.0
2022-10-25,33.4,32.62,33.55,32.58,414401.0
2022-10-26,32.8,33.06,33.81,32.76,362814.0
2022-10-27,33.3,33.18,33.6,32.9,226403.0
2022-10-28,32.81,31.36,32.98,31.22,401750.0
2022-10-31,31.33,30.78,31.4,30.7,345535.0
2022-11-01,31.18,32.2,32.2,30.69,480671.0
2022-11-02,32.0,32.68,33.2,31.82,380199.0
2022-11-03,32.4,32.18,32.47,31.8,288535.0
2022-11-04,32.23,33.69,33.95,32.18,457491.0
2022-11-07,33.6,33.66,33.86,33.11,331596.0
2022-11-08,33.72,33.6,33.89,33.18,305582.0
2022-11-09,33.99,33.64,34.45,33.55,229904.0
2022-11-10,33.35,33.57,33.58,33.13,223054.0
2022-11-11,35.13,36.23,36.8,34.31,828835.0
2022-11-14,38.52,38.4,39.71,37.9,1000204.0
2022-11-15,39.1,39.67,40.18,38.3,512288.0
2022-11-16,40.0,39.06,40.0,38.76,259926.0
2022-11-17,38.99,38.56,39.7,38.28,192846.0
2022-11-18,38.96,38.57,39.14,38.28,160676.0
2022-11-21,38.07,36.94,38.07,36.84,345234.0
2022-11-22,37.0,36.9,37.64,36.5,235692.0
2022-11-23,36.83,36.88,37.14,36.62,142552.0
2022-11-24,37.35,36.51,37.8,36.38,213800.0
2022-11-25,36.51,37.29,37.69,36.43,246975.0
2022-11-28,36.28,36.89,37.05,35.83,226551.0
2022-11-29,38.6,39.02,39.38,37.52,389287.0
2022-11-30,38.78,38.47,39.58,38.09,272876.0
2022-12-01,39.41,38.91,39.93,38.87,276045.0
2022-12-02,38.64,38.64,39.2,38.36,170150.0
2022-12-05,39.09,40.3,40.6,39.0,361068.0
2022-12-06,40.29,40.6,41.26,39.62,325270.0
2022-12-07,40.6,41.85,42.28,40.1,436564.0
2022-12-08,41.95,42.35,43.08,41.44,390780.0
2022-12-09,42.56,44.9,44.93,42.41,699406.0
2022-12-12,44.3,45.03,45.57,43.9,466633.0
2022-12-13,44.81,44.55,45.0,44.25,306193.0
2022-12-14,44.05,45.49,45.66,44.05,260850.0
2022-12-15,45.5,44.23,46.4,43.85,278043.0
2022-12-16,43.88,44.6,44.75,43.37,197450.0
2022-12-19,44.6,44.28,44.98,43.88,160764.0
2022-12-20,43.6,42.17,43.69,42.15,272454.0
